gamma,max_depth,learning_rate,n_estimators,min_child_weight,train_acc,train_f1,train_tp,train_fp,train_tn,train_fn,train_precision,train_recall,train_roc_auc,val_acc,val_f1,val_tp,val_fp,val_tn,val_fn,val_precision,val_recall,val_roc_auc
0,3,0.07,300,20,0.6971830985915493,0.39342995169082123,1018,129,6209,3010,0.8875326939843069,0.25273088381330683,0.6161887300101562,0.5881921525485881,0.12742812742812742,82,71,1522,1052,0.5359477124183006,0.07231040564373897,0.5138702059606014
0,3,0.07,300,50,0.6790468840439899,0.3397499503869815,856,155,6183,3172,0.8466864490603363,0.21251241310824232,0.5940283744304229,0.5760909424275761,0.10939907550077041,71,93,1500,1063,0.4329268292682927,0.06261022927689594,0.5021149074821392
0,3,0.07,300,100,0.6666023538491221,0.29238329238329236,714,142,6196,3314,0.8341121495327103,0.1772591857000993,0.5774273208399519,0.5841584158415841,0.11956521739130435,77,77,1516,1057,0.5,0.06790123456790123,0.5097823812513079
0,3,0.07,400,20,0.7222650974339185,0.47872533043635707,1322,173,6165,2706,0.8842809364548495,0.3282025819265144,0.6504534525284197,0.5837917125045838,0.16112342941611235,109,110,1483,1025,0.4977168949771689,0.09611992945326278,0.5135339132514273
0,3,0.07,400,50,0.7011383368705383,0.4207180254300673,1125,195,6143,2903,0.8522727272727273,0.27929493545183715,0.6242640660219109,0.5735240190685735,0.13531598513011153,91,120,1473,1043,0.4312796208530806,0.08024691358024691,0.5024586733626282
0,3,0.07,400,100,0.6855103222072159,0.37162683114880496,964,196,6142,3064,0.8310344827586207,0.23932472691161866,0.6042000725122941,0.5742574257425742,0.13936249073387694,94,121,1472,1040,0.4372093023255814,0.08289241622574955,0.5034675514901503
0,3,0.07,500,20,0.7473470962762878,0.5493030459473413,1596,187,6151,2432,0.8951205832865956,0.39622641509433965,0.6833609197592242,0.577924459112578,0.19341275402943237,138,155,1438,996,0.4709897610921502,0.12169312169312169,0.5121962155860461
0,3,0.07,500,50,0.7267991510708084,0.499115670321896,1411,215,6123,2617,0.8677736777367774,0.3502979145978153,0.6581877708047456,0.5746241290795746,0.16666666666666666,116,142,1451,1018,0.4496124031007752,0.10229276895943562,0.5065763907571816
0,3,0.07,500,100,0.7012348060968551,0.42996502852935764,1168,237,6101,2860,0.8313167259786477,0.2899702085402185,0.626288354506777,0.5698569856985699,0.16631130063965885,117,156,1437,1017,0.42857142857142855,0.10317460317460317,0.5026230831315577
0,3,0.07,600,20,0.7696314875554698,0.6062005277044855,1838,198,6140,2190,0.9027504911591355,0.45630585898709036,0.7125328600710145,0.579024569123579,0.21262002743484226,155,169,1424,979,0.4783950617283951,0.13668430335097,0.5152975816817624
0,3,0.07,600,50,0.7435847964499325,0.5464163822525597,1601,231,6107,2427,0.8739082969432315,0.39746772591857,0.6805104486329991,0.5760909424275761,0.20495185694635487,149,171,1422,985,0.465625,0.13139329805996472,0.5120243326458016
0,3,0.07,600,100,0.7159945977233263,0.4774582889598864,1345,261,6077,2683,0.8374844333748444,0.3339126117179742,0.6463662143474693,0.5687568756875687,0.1729957805907173,123,165,1428,1011,0.4270833333333333,0.10846560846560846,0.5024437270199982
0,3,0.07,700,20,0.791819409608335,0.6583280557314756,2079,209,6129,1949,0.9086538461538461,0.516137040714995,0.7415806693003817,0.5757242390905757,0.23831468071099407,181,204,1389,953,0.4701298701298701,0.15961199294532627,0.5157758646459212
