max_depth,criterion,train_acc,train_f1,train_tp,train_fp,train_tn,train_fn,train_precision,train_recall,train_roc_auc,val_acc,val_f1,val_tp,val_fp,val_tn,val_fn,val_precision,val_recall,val_roc_auc
14,entropy,0.7498552961605248,0.5269111476008028,1444,9,6329,2584,0.993805918788713,0.3584905660377358,0.6785352798632983,0.5837917125045838,0.04057480980557904,24,25,1568,1110,0.4897959183673469,0.021164021164021163,0.5027351807012824
14,log_loss,0.7498552961605248,0.5269111476008028,1444,9,6329,2584,0.993805918788713,0.3584905660377358,0.6785352798632983,0.5837917125045838,0.04057480980557904,24,25,1568,1110,0.4897959183673469,0.021164021164021163,0.5027351807012824
15,gini,0.860023152614316,0.7813112283345893,2592,15,6323,1436,0.9942462600690449,0.6434955312810328,0.8205644270479003,0.5870920425375871,0.07401315789473684,45,37,1556,1089,0.5487804878048781,0.03968253968253968,0.5082279616177922
15,entropy,0.7881535790082963,0.6266575994559673,1843,11,6327,2185,0.994066882416397,0.45754716981132076,0.7279058032710752,0.5867253392005867,0.05690376569037657,34,27,1566,1100,0.5573770491803278,0.029982363315696647,0.5065166053866619
15,log_loss,0.7881535790082963,0.6266575994559673,1843,11,6327,2185,0.994066882416397,0.45754716981132076,0.7279058032710752,0.5867253392005867,0.05690376569037657,34,27,1566,1100,0.5573770491803278,0.029982363315696647,0.5065166053866619
16,gini,0.8859733744935365,0.8291907514450867,2869,23,6315,1159,0.9920470262793915,0.7122641509433962,0.8543176229630202,0.579024569123579,0.0636215334420881,39,53,1540,1095,0.42391304347826086,0.03439153439153439,0.5005604878486234
16,entropy,0.8166120007717538,0.6926434923201293,2142,15,6323,1886,0.9930458970792768,0.531777557100298,0.7647054399575329,0.5885588558855885,0.05714285714285714,34,22,1571,1100,0.6071428571428571,0.029982363315696647,0.5080859713628074
16,log_loss,0.8166120007717538,0.6926434923201293,2142,15,6323,1886,0.9930458970792768,0.531777557100298,0.7647054399575329,0.5885588558855885,0.05714285714285714,34,22,1571,1100,0.6071428571428571,0.029982363315696647,0.5080859713628074
17,gini,0.9059425043411152,0.8633496846531185,3080,27,6311,948,0.9913099452848407,0.7646474677259185,0.8801937243962505,0.5845251191785845,0.08407437348423606,52,51,1542,1082,0.5048543689320388,0.04585537918871252,0.5069201566376708
17,entropy,0.8461315840246961,0.754653130287648,2453,20,6318,1575,0.9919126566922766,0.608987090367428,0.8029157603935594,0.5885588558855885,0.06655574043261231,40,28,1565,1094,0.5882352941176471,0.03527336860670194,0.5088482348369354
17,log_loss,0.8461315840246961,0.754653130287648,2453,20,6318,1575,0.9919126566922766,0.608987090367428,0.8029157603935594,0.5885588558855885,0.06655574043261231,40,28,1565,1094,0.5882352941176471,0.03527336860670194,0.5088482348369354
18,gini,0.9276480802623963,0.8985664051934,3322,44,6294,706,0.9869281045751634,0.8247269116186693,0.9088923292709944,0.5786578657865786,0.08446215139442231,53,68,1525,1081,0.4380165289256198,0.04673721340388007,0.5020252294263594
18,entropy,0.8876133513409222,0.8321083729644041,2887,24,6314,1141,0.9917554105118516,0.7167328699106256,0.8564730932071273,0.5870920425375871,0.06633499170812604,40,32,1561,1094,0.5555555555555556,0.03527336860670194,0.5075927420560189
18,log_loss,0.8876133513409222,0.8321083729644041,2887,24,6314,1141,0.9917554105118516,0.7167328699106256,0.8564730932071273,0.5870920425375871,0.06633499170812604,40,32,1561,1094,0.5555555555555556,0.03527336860670194,0.5075927420560189
19,gini,0.9364267798572256,0.9119807666622145,3414,45,6293,614,0.986990459670425,0.8475670307845085,0.9202334996144063,0.5823248991565824,0.10102604577742699,64,69,1524,1070,0.48120300751879697,0.0564373897707231,0.5065614444145518
19,entropy,0.8984179046884044,0.850870981447387,3004,29,6309,1024,0.9904385097263435,0.7457795431976166,0.870601983653084,0.5870920425375871,0.07704918032786885,47,39,1554,1087,0.5465116279069767,0.04144620811287478,0.5084820494425014
19,log_loss,0.8984179046884044,0.850870981447387,3004,29,6309,1024,0.9904385097263435,0.7457795431976166,0.870601983653084,0.5870920425375871,0.07704918032786885,47,39,1554,1087,0.5465116279069767,0.04144620811287478,0.5084820494425014
20,gini,0.9404784873625314,0.9180719691939981,3457,46,6292,571,0.9868683985155581,0.8582423038728898,0.9254922469190892,0.5768243491015769,0.08412698412698413,53,73,1520,1081,0.42063492063492064,0.04673721340388007,0.5004558634502138
20,entropy,0.9195446652517847,0.885784716516023,3234,40,6298,794,0.9877825290164935,0.8028798411122146,0.898284350975798,0.5837917125045838,0.06890894175553733,42,43,1550,1092,0.49411764705882355,0.037037037037037035,0.5050219711236661
20,log_loss,0.9195446652517847,0.885784716516023,3234,40,6298,794,0.9877825290164935,0.8028798411122146,0.898284350975798,0.5837917125045838,0.06890894175553733,42,43,1550,1092,0.49411764705882355,0.037037037037037035,0.5050219711236661
25,gini,0.9464595793941732,0.9279314374756525,3573,100,6238,455,0.9727742989381977,0.8870407149950348,0.9356314335467443,0.5812247891455812,0.1308980213089802,86,94,1499,1048,0.4777777777777778,0.07583774250440917,0.5084147909006667
25,entropy,0.9457842948099556,0.9264975150405441,3542,76,6262,486,0.9789939192924267,0.8793445878848064,0.9336767117398157,0.5738907224055739,0.083596214511041,53,81,1512,1081,0.39552238805970147,0.04673721340388007,0.49794487788838077
25,log_loss,0.9457842948099556,0.9264975150405441,3542,76,6262,486,0.9789939192924267,0.8793445878848064,0.9336767117398157,0.5738907224055739,0.083596214511041,53,81,1512,1081,0.39552238805970147,0.04673721340388007,0.49794487788838077
30,gini,0.94655604862049,0.929047131147541,3627,153,6185,401,0.9595238095238096,0.9004468718967229,0.9381533823036785,0.5808580858085809,0.14382022471910114,96,105,1488,1038,0.47761194029850745,0.08465608465608465,0.5093713568289839
30,entropy,0.94655604862049,0.9283867631851086,3591,117,6221,437,0.9684466019417476,0.8915094339622641,0.9365246759587275,0.5735240190685735,0.09211553473848556,59,88,1505,1075,0.4013605442176871,0.05202821869488536,0.4983932681672794
30,log_loss,0.94655604862049,0.9283867631851086,3591,117,6221,437,0.9684466019417476,0.8915094339622641,0.9365246759587275,0.5735240190685735,0.09211553473848556,59,88,1505,1075,0.4013605442176871,0.05202821869488536,0.4983932681672794
35,gini,0.94655604862049,0.9293006636038795,3641,167,6171,387,0.9561449579831933,0.903922542204568,0.9387867681044929,0.5801246791345801,0.15373244641537326,104,115,1478,1030,0.4748858447488584,0.09171075837742504,0.5097599617373628
35,entropy,0.94655604862049,0.9289561426006668,3622,148,6190,406,0.9607427055702917,0.8992055610724925,0.937927173089102,0.5793912724605794,0.11837048424289008,77,90,1503,1057,0.46107784431137727,0.06790123456790123,0.5057020297133291
35,log_loss,0.94655604862049,0.9289561426006668,3622,148,6190,406,0.9607427055702917,0.8992055610724925,0.937927173089102,0.5793912724605794,0.11837048424289008,77,90,1503,1057,0.46107784431137727,0.06790123456790123,0.5057020297133291
40,gini,0.94655604862049,0.9295344696006105,3654,180,6158,374,0.9530516431924883,0.9071499503475671,0.939374912062392,0.5724239090575725,0.12724550898203593,85,117,1476,1049,0.4207920792079208,0.07495590828924162,0.500754790302813
40,entropy,0.94655604862049,0.9293727689954105,3645,171,6167,383,0.9551886792452831,0.9049155908639523,0.9389677354761541,0.5753575357535754,0.13063063063063063,87,111,1482,1047,0.4393939393939394,0.07671957671957672,0.5035198636893552
